batch_code,item_name
343965,N Hot Beverage speciality
356458,Cookie chocolate
486186,plant balls mash peas/crm sauce lingnberry jam 8pc
10585586,strawberry fruit soft ice sugar cone CA
20331259,Cake carrot
20343380,Egg
20575186,Tea
20576336,chocolate fudge cake
30339090,"Tea, large"
30595136,plant balls cauliflower bean mix CA
40606988,Veggie balls mashed potato curry sau/half porti CA
50587569,plant-based pieces lingonberry BBQ sauce
60486188,plant balls 4 piece
70592999,Danish pastry fruit CA
80486187,plant balls mash peas/crm sauce lingnbrry jam 5pc
90569605,Salmon fillet cauliflower risotto/bean mix
